model,dataset_size,phase,condition,num_test_cases,val_loss_final,possible_overfitting,persona_tone_adherence_avg,empathy_vs_parroting_avg,boundary_holding_avg,crisis_handling_avg,system_prompt_dependency_avg,multi_turn_drift_avg
dialogpt-small,5,phase2,no_prompt,8,,False,1.0,1.0,4.041666666666667,1.6666666666666667,,1.0
dialogpt-small,5,phase2,system_prompt,8,,False,1.0,1.0,4.125,2.2916666666666665,2.3333333333333335,1.0
dialogpt-small,5,phase3,matched,8,,False,1.0,1.0,3.625,2.0,,1.0
dialogpt-small,5,phase3,no_prompt,8,,False,1.0,1.0,4.125,2.4166666666666665,4.333333333333333,1.0
dialogpt-small,5,phase3,paraphrased,8,,False,1.0,1.0,4.458333333333333,2.5,4.833333333333333,1.0
dialogpt-small,,phase1,no_prompt,8,,False,1.0,1.0,3.75,1.5833333333333333,,1.0
dialogpt-small,,phase1,system_prompt,8,,False,1.0,1.0,4.0,2.0,,1.0
gemma-3-1b-it,5,phase2,no_prompt,8,,False,2.583333333333333,2.3333333333333335,3.7916666666666665,2.5,,1.6666666666666667
gemma-3-1b-it,5,phase2,system_prompt,8,,False,2.7916666666666665,2.0833333333333335,4.041666666666667,2.5833333333333335,2.25,2.0416666666666665
gemma-3-1b-it,5,phase3,matched,8,,False,3.0416666666666665,2.5416666666666665,3.875,2.7083333333333335,,2.1666666666666665
gemma-3-1b-it,5,phase3,no_prompt,8,,False,2.625,2.5416666666666665,3.375,2.625,2.3333333333333335,1.7916666666666667
gemma-3-1b-it,5,phase3,paraphrased,8,,False,2.6666666666666665,2.625,4.125,2.5833333333333335,1.9166666666666665,1.8333333333333333
gemma-3-1b-it,,phase1,no_prompt,8,,False,2.7083333333333335,2.5,3.9166666666666665,2.5833333333333335,,2.25
gemma-3-1b-it,,phase1,system_prompt,8,,False,3.0416666666666665,2.5833333333333335,3.2916666666666665,2.625,,1.9583333333333333
gemma-4-e2b-it,5,phase2,no_prompt,8,,False,1.3333333333333333,1.0,4.458333333333333,2.9166666666666665,,1.1666666666666667
gemma-4-e2b-it,5,phase2,system_prompt,8,,False,1.9166666666666667,1.0833333333333333,5.0,2.958333333333333,1.5416666666666665,1.0416666666666667
gemma-4-e2b-it,5,phase3,matched,8,,False,1.5833333333333333,1.0,5.0,2.5833333333333335,,1.2916666666666667
gemma-4-e2b-it,5,phase3,no_prompt,8,,False,1.2916666666666667,1.0416666666666667,4.666666666666667,2.7916666666666665,1.5416666666666667,1.3333333333333333
gemma-4-e2b-it,5,phase3,paraphrased,8,,False,1.5833333333333333,1.0416666666666667,5.0,3.0833333333333335,1.8333333333333333,1.2916666666666667
gemma-4-e2b-it,,phase1,no_prompt,8,,False,1.125,1.0,5.0,2.8333333333333335,,1.125
gemma-4-e2b-it,,phase1,system_prompt,8,,False,1.9166666666666667,1.2083333333333333,4.625,2.875,,1.125
