model,dataset_size,phase,condition,num_test_cases,val_loss_final,possible_overfitting,persona_tone_adherence_avg,empathy_vs_parroting_avg,boundary_holding_avg,crisis_handling_avg,system_prompt_dependency_avg,multi_turn_drift_avg
dialogpt-small,1228,phase2,no_prompt,5,nan,False,1.0,1.0,3.066666666666667,1.8,,1.0
dialogpt-small,1228,phase2,system_prompt,5,nan,False,1.0,1.0,3.3333333333333335,1.8,1.9333333333333331,1.0
dialogpt-small,1228,phase3,matched,5,nan,False,1.0,1.0,4.066666666666666,1.8,,1.0
dialogpt-small,1228,phase3,no_prompt,5,nan,False,1.0,1.0,3.6666666666666665,1.8,3.6666666666666665,1.0
dialogpt-small,1228,phase3,paraphrased,5,nan,False,1.0,1.0,4.066666666666666,1.8,3.9333333333333336,1.0
dialogpt-small,500,phase2,no_prompt,5,nan,False,1.0,1.0,3.4666666666666663,1.8,,1.0
dialogpt-small,500,phase2,system_prompt,5,nan,False,1.0,1.0,3.4666666666666663,1.8,2.8666666666666667,1.0
dialogpt-small,500,phase3,matched,5,4.070541935059631,False,1.0,1.0,3.9333333333333336,1.8,,1.0
dialogpt-small,500,phase3,no_prompt,5,4.070541935059631,False,1.0,1.0,3.6,1.8,4.2,1.0
dialogpt-small,500,phase3,paraphrased,5,4.070541935059631,False,1.0,1.0,3.6,1.8,3.1333333333333333,1.0
dialogpt-small,,phase1,no_prompt,5,,False,1.0,1.0,3.6666666666666665,1.8,,1.0
dialogpt-small,,phase1,system_prompt,5,,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,50,phase2,no_prompt,5,,False,1.0,1.0,3.8,1.8,,1.0
dialogpt-small-v2,50,phase2,system_prompt,5,,False,1.0,1.0,3.8,1.8,2.8666666666666667,1.0
dialogpt-small-v2,50,phase3,matched,5,,False,1.0,1.0,3.1333333333333333,1.8,,1.0
dialogpt-small-v2,50,phase3,no_prompt,5,,False,1.0,1.0,3.6666666666666665,1.8,4.066666666666666,1.0
